PLAYER_ID,PLAYER_NAME_post,TEAM_ID_post,TEAM_ABBREVIATION_post,AGE_post,GP_post,MIN_post,PIE_post,USG_PCT_post,PLAYER_NAME_pre,TEAM_ID_pre,TEAM_ABBREVIATION_pre,AGE_pre,GP_pre,MIN_pre,PIE_pre,USG_PCT_pre,PIE_previous,PIE_following,GP_following,TEAM_ID_following,TEAM_ABBREVIATION_following,season,avg_wins_3yr,PIE_change,USG_change,PIE_diff,POSITION_simplified,OVERALL_PICK,change_team
1626144,Emmanuel Mudiay,1610612743,DEN,20.0,28,30.7,0.082,0.253,Emmanuel Mudiay,1610612743,DEN,20.0,40,30.2,0.058,0.247,,0.074,55.0,1610612743.0,DEN,2015-16,41.0,0.024,0.006000000000000005,-0.008000000000000007,Guard,7.0,False
201577,Robin Lopez,1610612752,NYK,28.0,27,30.2,0.125,0.18,Robin Lopez,1610612752,NYK,28.0,55,25.5,0.095,0.171,0.089,0.083,81.0,1610612741.0,CHI,2015-16,36.0,0.03,0.00899999999999998,-0.041999999999999996,Center,15.0,True
203897,Zach LaVine,1610612750,MIN,21.0,28,35.0,0.082,0.197,Zach LaVine,1610612750,MIN,21.0,54,24.3,0.097,0.252,0.079,0.095,47.0,1610612750.0,MIN,2015-16,29.0,-0.015,-0.05499999999999999,0.012999999999999998,Guard,13.0,False
1627741,Buddy Hield,1610612758,SAC,24.0,25,29.1,0.103,0.227,Buddy Hield,1610612758,SAC,24.0,57,20.4,0.072,0.198,,0.109,80.0,1610612758.0,SAC,2016-17,30.0,0.031,0.028999999999999998,0.006000000000000005,Guard,6.0,False
203901,Elfrid Payton,1610612753,ORL,23.0,24,30.1,0.141,0.203,Elfrid Payton,1610612753,ORL,23.0,58,29.1,0.105,0.215,0.091,0.108,63.0,1610612756.0,PHX,2016-17,27.666666666666668,0.03599999999999999,-0.011999999999999983,-0.03299999999999999,Guard,10.0,True
203994,Jusuf Nurkić,1610612757,POR,22.0,19,29.6,0.132,0.251,Jusuf Nurkić,1610612757,POR,22.0,46,18.0,0.107,0.22,0.085,0.127,79.0,1610612757.0,POR,2016-17,49.666666666666664,0.02500000000000001,0.031,-0.0050000000000000044,Center,16.0,False
1627737,Marquese Chriss,1610612756,PHX,19.0,25,26.9,0.084,0.194,Marquese Chriss,1610612756,PHX,19.0,57,18.8,0.05,0.194,,0.075,72.0,1610612756.0,PHX,2016-17,36.666666666666664,0.034,0.0,-0.009000000000000008,Forward,8.0,False
1626158,Richaun Holmes,1610612755,PHI,23.0,26,26.9,0.13,0.186,Richaun Holmes,1610612755,PHI,23.0,31,15.9,0.097,0.181,0.082,0.115,48.0,1610612755.0,PHI,2016-17,15.666666666666666,0.033,0.0050000000000000044,-0.015,Forward,37.0,False
203496,Robert Covington,1610612755,PHI,26.0,17,33.2,0.116,0.2,Robert Covington,1610612755,PHI,26.0,50,31.1,0.082,0.183,0.09,0.09,80.0,1610612755.0,PHI,2016-17,15.666666666666666,0.034,0.017000000000000015,-0.02600000000000001,Forward,61.0,False
203933,T.J. Warren,1610612756,PHX,23.0,22,35.0,0.123,0.185,T.J. Warren,1610612756,PHX,23.0,44,29.0,0.072,0.19,0.092,0.107,65.0,1610612756.0,PHX,2016-17,36.666666666666664,0.051000000000000004,-0.0050000000000000044,-0.016,Forward,14.0,False
